ID;Senderkanton;Empfängerkanton;Anstalt;Ort;Arbeitserziehung;Arbeiterkolonien;Zuchthaus, gerichtliche Verwahrung;Verwahrung von Unzurechenfähigen;administrative Versorgungen;Verwahrung von Gewohnheitstrinkern;Erziehung und Nacherziehung Jugendlicher und Minderjähriger (männlich);Erziehung und Nacherziehung Jugendlicher und Minderjähriger (weiblich);Bemerkung
;Waadt;andere;Choix de l'établissement ou de l'home selon le cas;;;;;;;;;;Sofern für Straf- und Massnahmevollzug nicht die kantonalen Anstalten in Frage kommen, erfolgt Einweisung in eine ausserkantonale Anstalt, die von Fall zu Fall bestimmt wird. Es handelt sich dabei jeduch nur um Ausnahmen.
;Wallis;andere;Choix de l'établissement ou de l'home selon le cas;;;;;;;;;;Wahl der Anstalt von Fall zu Fall.
LU02;Zug;Luzern;Straf- und Verwahrungsanstalt Wauwilermoos;Wauwil;;;1;;;;;;
LU01;Zug;Luzern;Anstalt Sedelhof;Emmenbrücke;1;;1;;;;;;
LU04;Zug;Luzern;Erziehungsanstalt St. Georg;Knutwil;;;;;;;1;;
AG07;Zug;Aargau;Schweizerisches Pestalozziheim Neuhof;Birr;;;;;;;1;;
AG94;Zug;Aargau;Heil- und Pflegeanstalt Königsfelden;Königsfelden;;;;1;;;;;
LU05;Zug;Luzern;Heil- und Pflegeanstalt St. Urban;St. Urban;;;;1;;;;;
TG05;Zug;Thurgau;Heil- und Pflegeanstalt Littenheid;Sirnach;;;;1;;;;;
;Zug;andere;Anstalten gemäss Konkordat über den Vollzug von Strafen und Massnahmen nach StGB und dem Recht der Kantone der Region Nordwest-Innerschweiz;;;;;;;;;;für alle andern Kategorien erfolgt Wahl der betreffenden Anstalt von Fall zu Fall
;Zürich;andere;Anstalten gemäss Vereinbarung über den Vollzug von Strafen und Massnahmen nach StGB und dem Recht der Kantone der Region Ostschweiz;;;;;;;;;;Wahl von Fall zu Fall.
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
